Detector Type, Descriptor Type, KeypointsDetectors, KeypointsDescriptors, Matches, DetectorsDetectionTime (ms), TotalDetectionTime (ms), TTC Lidar, TTC Camera
FAST,BRISK,3762,3762,1806,25.942865,25.942865,13.031073,11.084113
FAST,BRISK,5627,5627,1841,26.631622,26.631622,11.255764,12.601985
FAST,BRISK,7467,7467,1810,21.498840,21.498840,19.597519,14.244736
FAST,BRISK,9334,9334,1789,21.914555,21.914555,17.319971,12.749348
FAST,BRISK,11210,11210,1819,21.817032,21.817032,11.890759,17.608794
FAST,BRISK,13053,13053,1823,21.904755,21.904755,10.069708,12.564543
FAST,BRISK,14882,14882,1788,21.773321,21.773321,14.617295,13.671705
FAST,BRISK,16725,16725,1772,21.158566,21.158566,14.517295,11.976081
FAST,BRISK,18543,18543,1785,21.019176,21.019176,14.143403,12.882635
FAST,BRISK,20422,20422,1737,21.702915,21.702915,14.043403,13.344794
FAST,BRISK,22271,22271,1798,21.498915,21.498915,10.532903,14.504297
FAST,BRISK,24097,24097,1796,21.078663,21.078663,11.243067,11.399551
FAST,BRISK,25939,25939,1760,21.283075,21.283075,8.397678,12.397124
FAST,BRISK,27772,27772,1787,21.228672,21.228672,11.363455,12.468962
FAST,BRISK,29693,29693,1773,22.573215,22.573215,8.128746,12.054085
FAST,BRISK,31627,31627,1871,22.121691,22.121691,8.966659,12.114230
FAST,BRISK,33573,33573,1877,22.405487,22.405487,11.180682,8.199974
FAST,BRISK,35534,35534,1872,22.948078,22.948078,7.688745,12.171134
FAST,FREAK,3762,3762,1749,69.231911,69.231911,13.031073,11.779744
FAST,FREAK,5627,5627,1791,68.535866,68.535866,11.255764,16.705663
FAST,FREAK,7467,7467,1766,69.345329,69.345329,19.597519,15.552130
FAST,FREAK,9334,9334,1742,66.612839,66.612839,17.319971,14.076601
FAST,FREAK,11210,11210,1755,67.861397,67.861397,11.890759,15.839390
FAST,FREAK,13053,13053,1757,68.429893,68.429893,10.069708,12.500797
FAST,FREAK,14882,14882,1732,67.869324,67.869324,14.617295,16.184341
FAST,FREAK,16725,16725,1699,67.531761,67.531761,14.517295,11.822715
FAST,FREAK,18543,18543,1711,67.288803,67.288803,14.143403,12.213061
FAST,FREAK,20422,20422,1686,68.958061,68.958061,14.043403,12.963321
FAST,FREAK,22271,22271,1733,67.736496,67.736496,10.532903,12.982614
FAST,FREAK,24097,24097,1736,68.161278,68.161278,11.243067,11.709516
FAST,FREAK,25939,25939,1697,68.015060,68.015060,8.397678,11.713617
FAST,FREAK,27772,27772,1719,67.973724,67.973724,11.363455,11.488006
FAST,FREAK,29693,29693,1706,68.639183,68.639183,8.128746,12.223618
FAST,FREAK,31627,31627,1789,68.458527,68.458527,8.966659,12.557432
FAST,FREAK,33573,33573,1795,68.199562,68.199562,11.180682,8.184548
FAST,FREAK,35534,35534,1785,71.719170,71.719170,7.688745,11.985791
FAST,BRIEF,3762,3762,1729,11.105991,11.105991,13.031073,10.742391
FAST,BRIEF,5627,5627,1771,10.708035,10.708035,11.255764,11.006350
FAST,BRIEF,7467,7467,1745,12.903535,12.903535,19.597519,13.226191
FAST,BRIEF,9334,9334,1725,10.943141,10.943141,17.319971,14.080843
FAST,BRIEF,11210,11210,1736,13.257372,13.257372,11.890759,21.782370
FAST,BRIEF,13053,13053,1732,13.031077,13.031077,10.069708,13.469474
FAST,BRIEF,14882,14882,1707,11.417749,11.417749,14.617295,11.896902
FAST,BRIEF,16725,16725,1675,10.910561,10.910561,14.517295,12.776368
FAST,BRIEF,18543,18543,1690,12.942455,12.942455,14.143403,12.020504
FAST,BRIEF,20422,20422,1665,11.250814,11.250814,14.043403,13.502287
FAST,BRIEF,22271,22271,1714,13.085677,13.085677,10.532903,13.753321
FAST,BRIEF,24097,24097,1705,10.574356,10.574356,11.243067,11.473615
FAST,BRIEF,25939,25939,1668,11.367804,11.367804,8.397678,12.663686
FAST,BRIEF,27772,27772,1688,12.638594,12.638594,11.363455,11.243144
FAST,BRIEF,29693,29693,1677,11.744957,11.744957,8.128746,11.841351
FAST,BRIEF,31627,31627,1752,13.902267,13.902267,8.966659,11.202222
FAST,BRIEF,33573,33573,1762,11.497960,11.497960,11.180682,7.695889
FAST,BRIEF,35534,35534,1763,13.264205,13.264205,7.688745,11.736386
FAST,ORB,3762,3762,1716,8.094881,8.094881,13.031073,11.277508
FAST,ORB,5627,5627,1759,7.986539,7.986539,11.255764,10.726205
FAST,ORB,7467,7467,1728,7.601145,7.601145,19.597519,12.401666
FAST,ORB,9334,9334,1711,7.917118,7.917118,17.319971,12.731567
FAST,ORB,11210,11210,1723,8.045161,8.045161,11.890759,18.092308
FAST,ORB,13053,13053,1710,7.911714,7.911714,10.069708,13.129037
FAST,ORB,14882,14882,1684,8.071243,8.071243,14.617295,11.602503
FAST,ORB,16725,16725,1660,7.813026,7.813026,14.517295,11.001433
FAST,ORB,18543,18543,1678,8.770654,8.770654,14.143403,12.111333
FAST,ORB,20422,20422,1652,7.967269,7.967269,14.043403,13.368963
FAST,ORB,22271,22271,1699,7.990439,7.990439,10.532903,13.308681
FAST,ORB,24097,24097,1687,7.744259,7.744259,11.243067,10.858987
FAST,ORB,25939,25939,1645,7.838069,7.838069,8.397678,11.947951
FAST,ORB,27772,27772,1659,7.727585,7.727585,11.363455,10.900913
FAST,ORB,29693,29693,1647,8.332314,8.332314,8.128746,11.395795
FAST,ORB,31627,31627,1722,7.992170,7.992170,8.966659,11.250334
FAST,ORB,33573,33573,1736,8.063582,8.063582,11.180682,7.874848
FAST,ORB,35534,35534,1740,8.112595,8.112595,7.688745,11.132288
BRISK,BRISK,5896,5896,2896,85.137024,85.137024,13.031073,13.692578
BRISK,BRISK,8870,8870,3000,83.750824,83.750824,11.255764,15.434572
BRISK,BRISK,11823,11823,2974,84.950302,84.950302,19.597519,11.555035
BRISK,BRISK,14678,14678,2953,81.305161,81.305161,17.319971,16.046563
BRISK,BRISK,17584,17584,2855,83.547287,83.547287,11.890759,23.552919
BRISK,BRISK,20470,20470,2906,83.078606,83.078606,10.069708,15.872996
BRISK,BRISK,23356,23356,2886,83.039032,83.039032,14.617295,17.626443
BRISK,BRISK,26249,26249,2886,84.847076,84.847076,14.517295,15.839981
BRISK,BRISK,29179,29179,2893,86.162865,86.162865,14.143403,15.678955
BRISK,BRISK,32201,32201,2930,87.275330,87.275330,14.043403,15.144517
BRISK,BRISK,35214,35214,3022,85.850906,85.850906,10.532903,14.591485
BRISK,BRISK,38163,38163,3013,86.289597,86.289597,11.243067,11.595079
BRISK,BRISK,41175,41175,2949,85.568268,85.568268,8.397678,12.455962
BRISK,BRISK,44201,44201,3012,87.933594,87.933594,11.363455,11.268425
BRISK,BRISK,47275,47275,3026,89.567780,89.567780,8.128746,11.830538
BRISK,BRISK,50406,50406,3074,90.355469,90.355469,8.966659,10.465896
BRISK,BRISK,53541,53541,3131,91.385239,91.385239,11.180682,9.911500
BRISK,BRISK,56687,56687,3135,90.799820,90.799820,7.688745,10.685240
BRISK,FREAK,5896,5896,2400,124.142548,124.142548,13.031073,14.061954
BRISK,FREAK,8870,8870,2467,122.244064,122.244064,11.255764,22.882268
BRISK,FREAK,11823,11823,2472,122.651146,122.651146,19.597519,14.399980
BRISK,FREAK,14678,14678,2466,123.974167,123.974167,17.319971,14.912926
BRISK,FREAK,17584,17584,2393,123.259521,123.259521,11.890759,27.816511
BRISK,FREAK,20470,20470,2450,122.678909,122.678909,10.069708,16.117984
BRISK,FREAK,23356,23356,2427,121.688850,121.688850,14.617295,14.106952
BRISK,FREAK,26249,26249,2415,122.335327,122.335327,14.517295,16.014137
BRISK,FREAK,29179,29179,2403,123.987793,123.987793,14.143403,17.815600
BRISK,FREAK,32201,32201,2432,125.078026,125.078026,14.043403,13.564951
BRISK,FREAK,35214,35214,2485,125.169174,125.169174,10.532903,12.671812
BRISK,FREAK,38163,38163,2443,124.755585,124.755585,11.243067,12.087242
BRISK,FREAK,41175,41175,2398,128.062515,128.062515,8.397678,12.544883
BRISK,FREAK,44201,44201,2434,128.610519,128.610519,11.363455,11.156092
BRISK,FREAK,47275,47275,2446,126.025894,126.025894,8.128746,12.397434
BRISK,FREAK,50406,50406,2497,131.164169,131.164169,8.966659,9.909431
BRISK,FREAK,53541,53541,2564,129.230301,129.230301,11.180682,8.654036
BRISK,FREAK,56687,56687,2568,129.383194,129.383194,7.688745,11.497314
BRISK,BRIEF,5896,5896,2871,68.077141,68.077141,13.031073,13.713442
BRISK,BRIEF,8870,8870,2973,68.503128,68.503128,11.255764,17.600219
BRISK,BRIEF,11823,11823,2952,65.836510,65.836510,19.597519,12.916821
BRISK,BRIEF,14678,14678,2923,66.332268,66.332268,17.319971,21.128811
BRISK,BRIEF,17584,17584,2826,68.413589,68.413589,11.890759,26.837677
BRISK,BRIEF,20470,20470,2874,67.559486,67.559486,10.069708,19.275103
BRISK,BRIEF,23356,23356,2856,68.641769,68.641769,14.617295,18.070639
BRISK,BRIEF,26249,26249,2849,69.458939,69.458939,14.517295,18.400761
